Product Code,Product Description,2014 RRP Exc VAT,2014 RRP INC VAT,BRUSH CODE,MOQ,VAT,Barcode,Notes
LMT1,Letraset Marker Tin,4.16,4.99,,1,yes,8.01E+11,
LOB3,Layout Pad A3 60g,8.27,9.92,,1,yes,87828002539,
LOC4,Layout Pad A4 60g,5.24,6.29,,1,yes,87828002546,
PBNACL1,Art Coll Opening Day,6.04,7.25,,6,yes,7.81E+11,
PBNACL10,PBN Art Coll HORSE & KITTENS ,6.04,7.25,,6,yes,7.81E+11,NEW
PBNACL11,PBN Art Coll VAN GOGH STARNIGHT ,6.04,7.25,,6,yes,7.81E+11,NEW
PBNACL2,Art Coll Labs in Marsh,6.04,7.25,,6,yes,7.81E+11,
PBNACL3,Art Col Heading Upstream,6.04,7.25,,6,yes,7.81E+11,
PBNACL4,Art Coll Blue Bills,6.04,7.25,,6,yes,7.81E+11,
PBNACL5,Art Coll Rail Birds,6.04,7.25,,6,yes,7.81E+11,
PBNACL6,RVS ARTIST COLLECTION LARGE PBN HORSES & BARNES,6.04,7.25,,6,yes,7.81E+11,
PBNACL7,RVS ARTIST COLLECTION LARGE PBN TIGER,6.04,7.25,,6,yes,7.81E+11,
PBNACL8,RVS ARTIST COLLECTION LARGE PBN SUNRISE,6.04,7.25,,6,yes,7.81E+11,
PBNACL9,PBN Art Coll SUNFLOWERS ,6.04,7.25,,6,yes,7.81E+11,NEW
PBNACM1,Art Coll Night Watch,4.38,5.25,,6,yes,7.81E+11,
PBNACM2,Art Coll Ripples,4.38,5.25,,6,yes,7.81E+11,
PBNACM3,Art Coll Screaming Eagle,4.38,5.25,,6,yes,7.81E+11,
PBNACM4,Art Coll Time Well Spent,4.38,5.25,,6,yes,7.81E+11,
PBNACM5,Art Coll Edge of Cornfld,4.38,5.25,,6,yes,7.81E+11,
PBNACM6,RVS ARTIST COLLECTION MEDIUM BIRDS,4.38,5.25,,6,yes,78084850096,
PBNINTRO1,Rvs Intro to WC Painting,4.38,5.25,,6,yes,7.81E+11,
PBNINTRO2,Rvs Intro to WC Pencils,4.38,5.25,,6,yes,7.81E+11,
PBNINTRO3,Rvs Intro to Ske Pencils,4.38,5.25,,6,yes,7.81E+11,
PBNINTRO4,Rvs Intro to Col Pencils,4.38,5.25,,6,yes,7.81E+11,
PBNM1,Manga PBN Girls & Birds,3.74,4.49,,6,yes,7.81E+11,
PBNM2,Manga PBN Samurai,3.74,4.49,,6,yes,7.81E+11,
PBNM3,Manga PBN Monster,3.74,4.49,,6,yes,7.81E+11,
PBNM4,Manga PBN Warrior Girls,3.74,4.49,,6,yes,7.81E+11,
PL/100,PBN Large DOG WORLD ,5.41,6.49,,6,yes,7.81E+11,NEW
PL/101,PBN Large ELEPHANTS ,5.41,6.49,,6,yes,7.81E+11,NEW
PL/102,PBN Large HORSES ,5.41,6.49,,6,yes,7.81E+11,NEW
PL/23,Snr PBN Tiger/Cubs,5.41,6.49,,6,yes,5.01E+12,
PL/24,Snr PBN Pride of Lions,5.41,6.49,,6,yes,5.01E+12,
PL/27,Snr PBN Watermill,5.41,6.49,,6,yes,5.01E+12,
PL/30,Snr PBN Mountain Chalet,5.41,6.49,,6,yes,5.01E+12,
PL/33,Snr PBN Scottish Glen,5.41,6.49,,6,yes,5.01E+12,
PL/35,Snr PBN Two Dogs Lk Who,5.41,6.49,,6,yes,5.01E+12,
PL/36,Senior PBN Dolphins,5.41,6.49,,6,yes,7.81E+11,
PL/37,Senior PBN Lighthouse,5.41,6.49,,6,yes,7.81E+11,
PL/38,PBN Large HAMLET ,5.41,6.49,,6,yes,7.81E+11,NEW
PL/43,Snr PBN Tigers,5.41,6.49,,6,yes,7.81E+11,
