Account,Customer Name,Product,Description,EAN,outerQ,InnerQ,Price,Qty,Value,Weight,Prod Height (cm),Prod Width (cm),Prod Length (cm),Outer,InnerB
TO00041,LYNDA MILES T/AS MILES APART,PCLN,CRAFT- 50 PIPE CLEANERS ASSORTED,5012128383991.00,36,18,0.5,72,36.72,0.06,2,38,13,5024004636008.00,5024004636015.00
TO00041,LYNDA MILES T/AS MILES APART,PDIA,CRAFT-30 DIAGNAL STRIPE PIPE CLEANER,5012128393105.00,36,18,0.5,72,36.72,0.08,3,12.5,36.5,5024004655450.00,5024004655467.00
TO00041,LYNDA MILES T/AS MILES APART,PFEN/4,STAT PENS - 4 SOFT GRIP PENS,5012128233593.00,48,24,0.5,96,48,0.06,1.5,11,21,5024004300022.00,5024004300039.00
TO00041,LYNDA MILES T/AS MILES APART,PII/3,CRAFT-18PCS JUMBO PIPE CLEANERS,5012128109454.00,36,12,0.5,36,18,0.06,1.5,18.5,37,5024004109458.00,5024004540992.00
TO00041,LYNDA MILES T/AS MILES APART,PJOB/1,PIRATE - 6 X PLASTIC MEDALS,5012128353222.00,48,24,0.52,96,49.92,0.04,2,15.5,21,5024004567821.00,5024004567838.00
TO00041,LYNDA MILES T/AS MILES APART,PJOH/1,PIRATE - 5 X PLASTIC EYE PATCHES,5012128353260.00,48,24,0.52,48,24.96,0.04,2,18,15.5,5024004567906.00,5024004567913.00
TO00041,LYNDA MILES T/AS MILES APART,PJON/1,PIRATE - 20 X 2PLY NAPKINS,5012128348600.00,24,12,0.5,24,12,0.08,1.5,16.5,23,5024004557594.00,5024004557600.00
TO00041,LYNDA MILES T/AS MILES APART,PJOO/1,PIRATE - 8 X 9OZ CUPS,5012128348594.00,24,0,0.38,24,9.12,0.04,7.5,24,16,5024004557570.00,
TO00041,LYNDA MILES T/AS MILES APART,PJOP/1,"PIRATE - 8 X 9"" PAPER PLATES",5012128348587.00,24,0,0.5,48,24,0.12,2,32,24.5,5024004557556.00,
TO00041,LYNDA MILES T/AS MILES APART,PJOR/1,PIRATE - 5 X BLOW BUBBLE POTS1,5012128348624.00,48,12,0.5,48,24,0.24,3.5,13,17,5024004557631.00,5024004557648.00
